Library	isoform	LRGASP_id
CapTrap-ONT	ENST00000705119	FSM_chr4_-_112278435_112285639
CapTrap-ONT	ENST00000705130	NNC_chr4_-_112278435_112281680_112281773_112285639
CapTrap-ONT	ENST00000705197	FSM_chrX_+_153495114_153504620_153504870_153505237_153505351_153505862_153506077_153506528_153506640_153506829_153506924_153507046_153507186_153508247
CapTrap-ONT	ENST00000705228	FSM_chr1_+_163069529_163072394_163072500_163072804_163072867_163073455_163073623_163074320
CapTrap-ONT	ENST00000705244	FSM_chr21_-_34518257_34521498_34521659_34523536_34523711_34526662
CapTrap-ONT	ENST00000705247	FSM_chr21_-_34518257_34521498_34521659_34523536_34523711_34614759
CapTrap-ONT	ENST00000705284	FSM_chr10_+_89414804_89417204
CapTrap-ONT	ENST00000705328	FSM_chr4_-_1167657_1170401_1170577_1170998_1171191_1171262_1171487_1171851_1172075_1172543
CapTrap-ONT	ENST00000705358	FSM_chr22_+_41561184_41571842_41572142_41573654_41573778_41574732
CapTrap-ONT	ENST00000705359	NNC_chr22_+_41561184_41571842_41572142_41573659_41573778_41574732
CapTrap-ONT	ENST00000705360	NNC_chr22_+_41561184_41571842_41572142_41572629_41572783_41573654_41573778_41574732
CapTrap-ONT	ENST00000705361	NNC_chr22_+_41561184_41571842_41572142_41573381_41573476_41573654_41573778_41574732
CapTrap-ONT	ENST00000705380	NIC_chr1_-_6413283_6419775
CapTrap-ONT	ENST00000705381	FSM_chr1_-_6413283_6419606_6419703_6419775
CapTrap-ONT	ENST00000705383	NIC_chr1_-_6413283_6419240_6419341_6419606_6419703_6419775
CapTrap-ONT	ENST00000705396	FSM_chrX_+_118824006_118824338_118824391_118824588_118824714_118825130
CapTrap-ONT	ENST00000705405	NNC_chr4_+_139453935_139454176_139454445_139472685
CapTrap-ONT	ENST00000705409	FSM_chr4_+_139454445_139472685
CapTrap-ONT	ENST00000705433	FSM_chr2_-_74498319_74501496_74501615_74502835
CapTrap-ONT	ENST00000705434	FSM_chr2_-_74498319_74499332
CapTrap-ONT	ENST00000705502	FSM_chr17_-_4734480_4734582_4734653_4735091_4735509_4738407_4738491_4738781_4738921_4739260
CapTrap-ONT	ENST00000705505	FSM_chr17_-_4734653_4735091_4735509_4738407_4738491_4738781_4738921_4739260
CapTrap-ONT	ENST00000705530	FSM_chr3_+_50205349_50214148_50214301_50214401_50214484_50214652_50214769_50215385_50215460_50215543_50215637_50215739_50215822_50217237_50217321_50217414_50217474_50217675_50217841_50217916_50217997_50218269_50218371_50218592_50218718_50218803_50218949_50219880_50219985_50220072
CapTrap-ONT	ENST00000705535	ISM_chr3_+_50219985_50220072
CapTrap-ONT	ENST00000705581	FSM_chrX_-_49072009_49073808
CapTrap-ONT	ENST00000705583	FSM_chrX_-_49072009_49072432_49072651_49073808
CapTrap-ONT	ENST00000705588	FSM_chr2_-_229026109_229155817_229155965_229271013
CapTrap-ONT	ENST00000705591	NNC_chr2_-_229249858_229271013_229271196_229271838
CapTrap-ONT	ENST00000705616	ISM_chr5_-_140334281_140334657_140334749_140335871_140336028_140342634_140342813_140345910
CapTrap-ONT	ENST00000705617	FSM_chr5_-_140334281_140334657_140334749_140335871_140336028_140342634_140342813_140345910_140346085_140346282
CapTrap-ONT	ENST00000705657	FSM_chr11_+_75769113_75784617_75784747_75790187_75790296_75790660_75790732_75796327_75796533_75797157_75797333_75798226_75798430_75800353
CapTrap-ONT	ENST00000705658	NNC_chr11_+_75769113_75784617_75784747_75790187_75790296_75790660_75790732_75796327_75796533_75797157_75797333_75798205_75798430_75800361
CapTrap-ONT	ENST00000705672	FSM_chr10_-_69573045_69573209
CapTrap-ONT	ENST00000705676	Genic.Genomic_chr10_-_69571500_69573200
CapTrap-ONT	ENST00000705677	NNC_chr10_-_69573111_69573209
CapTrap-ONT	ENST00000705721	NNC_chr9_+_137221745_137224929_137225234_137225613
CapTrap-ONT	ENST00000705722	NNC_chr9_+_137221745_137225141_137225234_137225613
CapTrap-ONT	ENST00000705726	FSM_chr9_+_137225234_137225613
CapTrap-ONT	ENST00000705740	FSM_chr12_-_15109518_15111343_15111418_15121062_15121120_15217428_15217604_15221194
CapTrap-ONT	ENST00000705742	NNC_chr12_-_15109550_15111343_15111418_15121062_15121120_15217428_15217604_15221194
CapTrap-ONT	ENST00000705743	NNC_chr12_-_15109518_15111343_15111418_15119114_15119279_15121062_15121120_15217428_15217604_15221194
CapTrap-ONT	ENST00000705748	NNC_chr12_-_15109518_15111343_15111418_15119114_15119262_15121062_15121120_15217428_15217604_15221194
CapTrap-ONT	ENST00000705750	NNC_chr12_-_15109518_15111343_15111418_15119114_15119279_15121062_15121111_15217428_15217604_15221194
CapTrap-ONT	ENST00000705753	FSM_chr12_-_15217604_15221194
CapTrap-ONT	ENST00000705770	FSM_chr17_+_49969752_49973072_49973270_49973700
CapTrap-ONT	ENST00000705806	FSM_chr14_-_100146908_100148967_100149711_100159505
CapTrap-ONT	ENST00000705812	FSM_chr12_-_21766624_21773242_21773687_21774545
CapTrap-ONT	ENST00000705815	FSM_chr22_-_32149614_32149752_32149781_32150318_32150480_32150991_32151020_32151486_32151552_32152066_32152095_32152561_32152627_32154243_32154319_32158983
CapTrap-ONT	ENST00000705818	ISM_chr22_-_32149614_32149752_32149781_32150318
CapTrap-ONT	ENST00000705820	NNC_chr22_-_32149614_32149752_32149781_32150318_32150480_32150924_32151020_32151486
CapTrap-ONT	ENST00000705854	FSM_chr4_+_112145734_112186692
CapTrap-ONT	ENST00000705870	FSM_chr13_+_49628616_49630429
CapTrap-ONT	ENST00000705915	FSM_chr15_-_89471856_89472710_89472864_89476754_89476829_89477081_89477207_89477516_89477654_89477836_89477975_89479321_89479489_89480260_89480409_89483066_89483218_89486798_89486986_89496360
CapTrap-ONT	ENST00000705919	ISM_chr15_-_89471856_89472721
CapTrap-ONT	ENST00000705954	FSM_chr17_-_35576182_35577037_35577592_35577895
CapTrap-ONT	ENST00000705963	NNC_chr10_+_80132702_80142081_80142180_80144222_80144344_80144899
CapTrap-ONT	ENST00000705964	FSM_chr10_+_80132827_80142081_80142180_80144222_80144344_80144899
CapTrap-ONT	ENST00000705967	NNC_chr10_+_80132827_80143768_80143959_80144222_80144344_80144899
CapTrap-ONT	ENST00000705968	ISM_chr10_+_80132827_80142081
CapTrap-ONT	ENST00000705969	NNC_chr10_+_80132827_80142081_80142180_80143889_80144064_80144222_80144344_80144899
CapTrap-ONT	ENST00000706037	FSM_chr1_+_20186154_20190546
CapTrap-ONT	ENST00000706038	NNC_chr1_+_20186154_20190926
CapTrap-ONT	ENST00000706069	FSM_chr8_-_79765772_79766650_79766733_79767008_79767093_79767218_79767295_79767574
CapTrap-ONT	ENST00000706073	FSM_chr8_-_79765772_79766650_79766733_79766996_79767093_79767218_79767295_79767574
CapTrap-ONT	ENST00000706098	FSM_chr8_-_107252016_107264220_107264352_107284681_107284849_107293935_107294038_107303239_107303368_107321895_107322129_107336149_107336272_107346941_107347098_107497261
CapTrap-ONT	ENST00000706100	ISM_chr8_-_107303368_107321898_107322129_107336149_107336272_107346941_107347098_107497261
CapTrap-ONT	ENST00000706407	NIC_chrX_+_153495114_153504620_153504870_153505237_153505402_153505862_153506077_153506528_153506640_153506829_153506924_153507046_153507186_153508247
CapTrap-ONT	ENST00000706532	NIC_chr5_-_140334281_140334657_140334749_140335871_140336028_140345910
CapTrap-ONT	ENST00000706549	NNC_chr1_-_6413283_6414949_6415048_6419775
CapTrap-ONT	ENST00000706553	NIC_chr1_-_6413283_6424477
CapTrap-ONT	ENST00000706672	NNC_chr12_-_15109550_15111343_15111418_15121062_15121120_15217428_15217585_15221202
CapTrap-ONT	ENST00000706702	NNC_chr17_-_35576176_35577037_35577592_35577895
CapTrap-PacBio	ENST00000700737	NNC_chr1_-_18908667_18910341_18910473_18911383_18911477_18911962_18912084_18916902_18917043_18918361_18918503_18919677_18919774_18921060_18921122_18996989_18997060_19006080
CapTrap-PacBio	ENST00000704391	FSM_chr16_-_57257030_57258461_57258585_57261896_57262071_57284405
CapTrap-PacBio	ENST00000704427	FSM_chr11_-_118229921_118233459_118233524_118235423_118235590_118237049_118237261_118240210_118240378_118252221
CapTrap-PacBio	ENST00000704518	FSM_chr18_-_43270649_43271711_43271833_43273579_43274395_43277247
CapTrap-PacBio	ENST00000704525	NNC_chr18_-_43270649_43271711_43271833_43271994
CapTrap-PacBio	ENST00000704560	FSM_chr5_-_138253058_138253286_138253376_138253765_138253901_138254056_138254161_138257638_138257952_138259556_138259650_138264260_138264549_138274333
CapTrap-PacBio	ENST00000704564	ISM_chr5_-_138257952_138259556_138259650_138264260_138264549_138274333
CapTrap-PacBio	ENST00000704613	FSM_chr1_+_27392738_27393793
CapTrap-PacBio	ENST00000704730	FSM_chr6_-_70861750_70861829_70861979_70894127_70894273_70955838
CapTrap-PacBio	ENST00000704773	FSM_chr10_-_91630867_91632955
CapTrap-PacBio	ENST00000704819	FSM_chr8_-_29337412_29338281_29338502_29340097_29340244_29349845
CapTrap-PacBio	ENST00000704825	FSM_chr8_-_71842748_71843644
CapTrap-PacBio	ENST00000704847	FSM_chr2_-_182834966_182837947_182838012_182838408_182838614_182842477_182842544_182858785_182858834_182866074
CapTrap-PacBio	ENST00000704880	FSM_chr1_+_203305749_203307103
CapTrap-PacBio	ENST00000704947	ISM_chr16_+_2020600_2020800
CapTrap-PacBio	ENST00000704955	FSM_chr22_+_37659357_37665554
CapTrap-PacBio	ENST00000705025	FSM_chr9_-_136362181_136362988_136363129_136363486
CapTrap-PacBio	ENST00000705042	FSM_chr18_-_75202341_75208849
CapTrap-PacBio	ENST00000705094	FSM_chr3_-_43081537_43105835
CapTrap-PacBio	ENST00000705109	FSM_chr14_-_63686657_63698568_63698659_63727260
CapTrap-PacBio	ENST00000705189	FSM_chr4_-_112278435_112285639
CapTrap-PacBio	ENST00000705194	FSM_chrX_+_153495114_153504620_153504870_153505237_153505351_153505862_153506077_153506528_153506640_153506829_153506924_153507046_153507186_153508247
CapTrap-PacBio	ENST00000705245	FSM_chr21_-_34518257_34521498_34521659_34523536_34523711_34526662
CapTrap-PacBio	ENST00000705248	FSM_chr21_-_34518257_34521498_34521659_34523536_34523711_34614759
CapTrap-PacBio	ENST00000705267	FSM_chr1_+_163068993_163069251_163069529_163072394_163072500_163072804_163072867_163073455_163073623_163074320
CapTrap-PacBio	ENST00000705268	FSM_chr1_+_163069529_163072394_163072500_163072804_163072867_163073455_163073623_163074320
CapTrap-PacBio	ENST00000705329	FSM_chr4_-_1167657_1170401_1170577_1170998_1171191_1171262_1171487_1171851_1172075_1172543
CapTrap-PacBio	ENST00000705357	NNC_chr22_+_41561184_41571842_41572142_41572629_41572783_41573654_41573778_41574732
CapTrap-PacBio	ENST00000705367	FSM_chr1_-_6413283_6419606_6419703_6419775
CapTrap-PacBio	ENST00000705394	FSM_chrX_+_118824006_118824338_118824391_118824588_118824714_118825130
CapTrap-PacBio	ENST00000705404	FSM_chr4_+_139453698_139454176_139454445_139472685
CapTrap-PacBio	ENST00000705440	FSM_chr2_-_74498319_74499332
CapTrap-PacBio	ENST00000705495	FSM_chr10_+_89414804_89417204
CapTrap-PacBio	ENST00000705501	FSM_chr17_-_4734480_4734582_4734653_4735091_4735509_4738407_4738491_4738781_4738921_4739260
CapTrap-PacBio	ENST00000705527	FSM_chr3_+_50205349_50214148_50214301_50214401_50214484_50214652_50214769_50215385_50215460_50215543_50215637_50215739_50215822_50217237_50217321_50217414_50217474_50217675_50217841_50217916_50217997_50218269_50218371_50218592_50218718_50218803_50218949_50219880_50219985_50220072
CapTrap-PacBio	ENST00000705557	NNC_chr17_-_4734480_4734588_4734653_4735091_4735509_4738407_4738491_4738781_4738921_4739260
CapTrap-PacBio	ENST00000705578	FSM_chrX_-_49072009_49072432_49072651_49073808
CapTrap-PacBio	ENST00000705609	FSM_chr5_-_140334281_140334657_140334749_140335871_140336028_140342634_140342813_140345910_140346085_140346282
CapTrap-PacBio	ENST00000705640	FSM_chr2_-_229026109_229155817_229155965_229271013
CapTrap-PacBio	ENST00000705667	FSM_chr10_-_69573045_69573209
CapTrap-PacBio	ENST00000705703	FSM_chr11_+_75769113_75784617_75784747_75790187_75790296_75790660_75790732_75796327_75796533_75797157_75797333_75798226_75798430_75800353
CapTrap-PacBio	ENST00000705720	NNC_chr9_+_137221745_137224929_137225234_137225613
CapTrap-PacBio	ENST00000705728	FSM_chr9_+_137225234_137225613
CapTrap-PacBio	ENST00000705737	NNC_chr12_-_15109518_15111343_15111418_15119114_15119279_15121062_15121120_15217428_15217604_15221194
CapTrap-PacBio	ENST00000705738	FSM_chr12_-_15109518_15111343_15111418_15121062_15121120_15217428_15217604_15221194
CapTrap-PacBio	ENST00000705741	FSM_chr12_-_15109518_15111343_15111418_15217428_15217604_15221194
CapTrap-PacBio	ENST00000705749	NNC_chr12_-_15109518_15111343_15111418_15119114_15119199_15121062_15121120_15217428_15217604_15221194
CapTrap-PacBio	ENST00000705775	FSM_chr17_+_49969752_49973072_49973270_49973700
CapTrap-PacBio	ENST00000705819	ISM_chr22_-_32149614_32149752_32149781_32150318
CapTrap-PacBio	ENST00000705821	FSM_chr22_-_32149614_32149752_32149781_32150318_32150480_32150991_32151020_32151486_32151552_32152066_32152095_32152561_32152627_32154243_32154319_32158983
CapTrap-PacBio	ENST00000705827	FSM_chr14_-_100146908_100148967_100149711_100159505
CapTrap-PacBio	ENST00000705836	FSM_chr12_-_21766624_21773242_21773687_21774545
CapTrap-PacBio	ENST00000705853	FSM_chr4_+_112145734_112186692
CapTrap-PacBio	ENST00000705865	FSM_chr13_+_49628616_49630429
CapTrap-PacBio	ENST00000705917	FSM_chr15_-_89471856_89472710_89472864_89476754_89476829_89477081_89477207_89477516_89477654_89477836_89477975_89479321_89479489_89480260_89480409_89483066_89483218_89486798_89486986_89496360
CapTrap-PacBio	ENST00000705956	FSM_chr17_-_35576182_35577037_35577592_35577895
CapTrap-PacBio	ENST00000705966	FSM_chr10_+_80132827_80142081_80142180_80144222_80144344_80144899
CapTrap-PacBio	ENST00000705975	FSM_chr1_+_20186154_20190546
CapTrap-PacBio	ENST00000706075	FSM_chr8_-_79765772_79766650_79766733_79767008_79767093_79767218_79767295_79767574
CapTrap-PacBio	ENST00000706077	FSM_chr8_-_79765772_79766650_79766733_79767008_79767093_79767218_79767295_79767418
CapTrap-PacBio	ENST00000706078	FSM_chr8_-_79765772_79766650_79766733_79766996_79767093_79767218_79767295_79767574
CapTrap-PacBio	ENST00000706097	FSM_chr8_-_107252016_107264220_107264352_107284681_107284849_107293935_107294038_107303239_107303368_107321898_107322129_107336149_107336272_107346941_107347098_107497261
cDNA-ONT	ENST00000700733	NNC_chr1_-_18908667_18910341_18910473_18911383_18911477_18911962_18912084_18916902_18917043_18918361_18918503_18919677_18919774_18921060_18921122_18928035
cDNA-ONT	ENST00000704393	FSM_chr16_-_57257030_57258461_57258585_57261896_57262071_57284405
cDNA-ONT	ENST00000704405	NNC_chr16_-_57257030_57258461_57258585_57260549
cDNA-ONT	ENST00000704406	ISM_chr16_-_57257030_57258461_57258585_57261896
cDNA-ONT	ENST00000704424	FSM_chr11_-_118229921_118233459_118233524_118235423_118235590_118240210_118240378_118252221
cDNA-ONT	ENST00000704425	FSM_chr11_-_118229921_118233459_118233524_118235423_118235590_118237049_118237261_118240210_118240378_118252221
cDNA-ONT	ENST00000704430	NNC_chr11_-_118248321_118252221
cDNA-ONT	ENST00000704432	NNC_chr11_-_118250133_118252221
cDNA-ONT	ENST00000704508	FSM_chr18_-_43270649_43271711_43271833_43273579_43274395_43277247
cDNA-ONT	ENST00000704517	NNC_chr18_-_43270649_43271816_43271833_43273579_43274395_43277247
cDNA-ONT	ENST00000704527	ISM_chr18_-_43274395_43277247
cDNA-ONT	ENST00000704555	FSM_chr5_-_138253058_138253286_138253376_138253765_138253901_138254056_138254161_138257638_138257952_138259556_138259650_138264260_138264549_138274333
cDNA-ONT	ENST00000704561	FSM_chr5_-_138253058_138253286_138253376_138253765_138253901_138254056_138254161_138257638_138257952_138264260_138264549_138274333
cDNA-ONT	ENST00000704615	FSM_chr1_+_27392738_27393793
cDNA-ONT	ENST00000704621	NNC_chr1_+_27392848_27393793
cDNA-ONT	ENST00000704665	FSM_chr8_-_71842748_71843644
cDNA-ONT	ENST00000704666	NNC_chr8_-_71842748_71844163
cDNA-ONT	ENST00000704726	FSM_chr6_-_70861750_70861829_70861979_70894127_70894273_70955838
cDNA-ONT	ENST00000704732	NIC_chr6_-_70861979_70894127_70894273_70955838
cDNA-ONT	ENST00000704763	NNC_chr10_-_91620338_91629871_91630867_91632955
cDNA-ONT	ENST00000704767	FSM_chr10_-_91630867_91632955
cDNA-ONT	ENST00000704832	FSM_chr8_-_29337412_29338281_29338502_29340097_29340244_29349845
cDNA-ONT	ENST00000704834	NIC_chr8_-_29337412_29338281_29338502_29340097_29340244_29345369_29346075_29349845
cDNA-ONT	ENST00000704874	FSM_chr1_+_203305749_203307103
cDNA-ONT	ENST00000704909	FSM_chr2_-_182834966_182837947_182838012_182838408_182838614_182842477_182842544_182858785_182858834_182866074
cDNA-ONT	ENST00000704942	Genic.Genomic_chr16_+_2009900_2010600
cDNA-ONT	ENST00000704943	NNC_chr16_+_2010103_2010221
cDNA-ONT	ENST00000704944	FSM_chr16_+_2010103_2020151_2020313_2020532
cDNA-ONT	ENST00000704945	NNC_chr16_+_2010103_2010307
cDNA-ONT	ENST00000704954	FSM_chr22_+_37659357_37665554
cDNA-ONT	ENST00000705011	FSM_chr9_-_136362181_136362988_136363129_136363486
cDNA-ONT	ENST00000705018	ISM_chr9_-_136362181_136362988
cDNA-ONT	ENST00000705038	FSM_chr18_-_75202341_75208849
cDNA-ONT	ENST00000705066	FSM_chr18_-_75202341_75208419
cDNA-ONT	ENST00000705074	FSM_chr18_-_75202341_75205192
cDNA-ONT	ENST00000705081	FSM_chr3_-_43081537_43105835
cDNA-ONT	ENST00000705106	FSM_chr14_-_63686657_63698568_63698659_63727260
cDNA-ONT	ENST00000705107	NNC_chr14_-_63686657_63691548
cDNA-ONT	ENST00000705120	NNC_chr4_-_112278435_112281680_112281773_112285639
cDNA-ONT	ENST00000705122	FSM_chr4_-_112278435_112285639
cDNA-ONT	ENST00000705195	FSM_chrX_+_153495114_153504620_153504870_153505237_153505351_153505862_153506077_153506528_153506640_153506829_153506924_153507046_153507186_153508247
cDNA-ONT	ENST00000705227	FSM_chr1_+_163068993_163069251_163069529_163072394_163072500_163072804_163072867_163073455_163073623_163074320
cDNA-ONT	ENST00000705243	FSM_chr21_-_34518257_34521498_34521659_34523536_34523711_34614759
cDNA-ONT	ENST00000705246	FSM_chr21_-_34518257_34521498_34521659_34523536_34523711_34526662
cDNA-ONT	ENST00000705269	FSM_chr1_+_163069529_163072394_163072500_163072804_163072867_163073455_163073623_163074320
cDNA-ONT	ENST00000705286	FSM_chr10_+_89414804_89417204
cDNA-ONT	ENST00000705327	FSM_chr4_-_1167657_1170401_1170577_1170998_1171191_1171262_1171487_1171851_1172075_1172543
cDNA-ONT	ENST00000705339	ISM_chr4_-_1170577_1170998_1171191_1171262
cDNA-ONT	ENST00000705379	NIC_chr1_-_6413283_6419775
cDNA-ONT	ENST00000705382	FSM_chr1_-_6413283_6419606_6419703_6419775
cDNA-ONT	ENST00000705395	FSM_chrX_+_118824006_118824338_118824391_118824588_118824714_118825130
cDNA-ONT	ENST00000705397	NIC_chrX_+_118824006_118824338_118824714_118825130
cDNA-ONT	ENST00000705398	NIC_chrX_+_118824006_118824588_118824714_118825130
cDNA-ONT	ENST00000705399	NNC_chrX_+_118824178_118824338_118824391_118824588_118824714_118825130
cDNA-ONT	ENST00000705406	NNC_chr4_+_139453849_139454176_139454445_139472685
cDNA-ONT	ENST00000705407	NNC_chr4_+_139453935_139454176_139454445_139472685
cDNA-ONT	ENST00000705408	FSM_chr4_+_139454445_139472685
cDNA-ONT	ENST00000705411	NNC_chr4_+_139454445_139472658
cDNA-ONT	ENST00000705435	FSM_chr2_-_74498319_74499332
cDNA-ONT	ENST00000705439	NNC_chr2_-_74498319_74498943_74499065_74499332
cDNA-ONT	ENST00000705441	FSM_chr2_-_74498319_74501496_74501615_74502835
cDNA-ONT	ENST00000705442	FSM_chr2_-_74498319_74502835
cDNA-ONT	ENST00000705475	NIC_chr10_+_89414804_89417204_89417552_89418063
cDNA-ONT	ENST00000705520	ISM_chr22_+_41561184_41571842
cDNA-ONT	ENST00000705523	FSM_chr3_+_50205349_50214148_50214301_50214401_50214484_50214652_50214769_50215385_50215460_50215543_50215637_50215739_50215822_50217237_50217321_50217414_50217474_50217675_50217841_50217916_50217997_50218269_50218371_50218592_50218718_50218803_50218949_50219880_50219985_50220072
cDNA-ONT	ENST00000705529	NIC_chr3_+_50205349_50207335_50207478_50214148_50214301_50214401_50214484_50214652_50214769_50215385_50215460_50215543_50215637_50215739_50215822_50217237_50217321_50217414_50217474_50217675_50217841_50217916_50217997_50218269_50218371_50218592_50218718_50218803_50218949_50219880_50219985_50220072
cDNA-ONT	ENST00000705532	NIC_chr3_+_50205349_50214148_50214301_50215385_50215460_50215543_50215637_50215739_50215822_50217237_50217321_50217414_50217474_50217675_50217841_50217916_50217997_50218269_50218371_50218592_50218718_50218803_50218949_50219880_50219985_50220072
cDNA-ONT	ENST00000705552	FSM_chr17_-_4734480_4734582_4734653_4735091_4735509_4738407_4738491_4738781_4738921_4739260
cDNA-ONT	ENST00000705554	ISM_chr17_-_4734480_4734582_4734653_4735091_4735509_4738407_4738491_4738781
cDNA-ONT	ENST00000705560	ISM_chr17_-_4734653_4735091
cDNA-ONT	ENST00000705571	FSM_chrX_-_49072009_49072432_49072651_49073808
cDNA-ONT	ENST00000705577	ISM_chrX_-_49072009_49072432
cDNA-ONT	ENST00000705582	FSM_chrX_-_49072009_49073808
cDNA-ONT	ENST00000705618	FSM_chr5_-_140334281_140334657_140334749_140335871_140336028_140342634_140342813_140345910_140346085_140346282
cDNA-ONT	ENST00000705621	NNC_chr5_-_140334281_140334657_140334749_140335871_140336028_140342634_140342813_140345998_140346085_140346282
cDNA-ONT	ENST00000705625	ISM_chr5_-_140334281_140334657_140334749_140335871
cDNA-ONT	ENST00000705632	FSM_chr2_-_229026109_229155817_229155965_229271013
cDNA-ONT	ENST00000705635	NNC_chr2_-_229249858_229271013
cDNA-ONT	ENST00000705636	NNC_chr2_-_229249858_229262682_229262881_229271013
cDNA-ONT	ENST00000705665	FSM_chr10_-_69573045_69573209
cDNA-ONT	ENST00000705675	Genic.Genomic_chr10_-_69571500_69573500
cDNA-ONT	ENST00000705704	FSM_chr11_+_75769113_75784617_75784747_75790187_75790296_75790660_75790732_75796327_75796533_75797157_75797333_75798226_75798430_75800353
cDNA-ONT	ENST00000705727	FSM_chr9_+_137225234_137225613
cDNA-ONT	ENST00000705739	FSM_chr12_-_15109518_15111343_15111418_15121062_15121120_15217428_15217604_15221194
cDNA-ONT	ENST00000705744	FSM_chr12_-_15109518_15111343_15111418_15217428_15217604_15221194
cDNA-ONT	ENST00000705745	NNC_chr12_-_15109518_15111343_15111418_15119114_15119199_15121062_15121120_15217428_15217604_15221194
cDNA-ONT	ENST00000705752	NNC_chr12_-_15206895_15217428_15217604_15221194
cDNA-ONT	ENST00000705769	NIC_chr17_+_49969040_49969614_49969752_49973072_49973270_49973700
cDNA-ONT	ENST00000705774	FSM_chr17_+_49969752_49973072_49973270_49973700
cDNA-ONT	ENST00000705803	FSM_chr14_-_100146908_100148967_100149711_100159505
cDNA-ONT	ENST00000705807	FSM_chr14_-_100146908_100159505
cDNA-ONT	ENST00000705808	NNC_chr14_-_100146908_100166794
cDNA-ONT	ENST00000705809	NNC_chr14_-_100146908_100166604_100166698_100166794
cDNA-ONT	ENST00000705810	NNC_chr14_-_100146908_100148967_100149711_100166604_100166698_100166794
cDNA-ONT	ENST00000705846	FSM_chr12_-_21766624_21773242_21773687_21774545
cDNA-ONT	ENST00000705851	NNC_chr4_+_112145524_112180673_112180859_112186692
cDNA-ONT	ENST00000705852	FSM_chr4_+_112145734_112186692
cDNA-ONT	ENST00000705855	NNC_chr4_+_112145734_112180673_112180859_112186692
cDNA-ONT	ENST00000705869	FSM_chr13_+_49628616_49630429
cDNA-ONT	ENST00000705886	NNC_chr22_-_32149614_32149752_32149781_32150318_32150480_32150766
